"relative_path","area","artifact_kind","bytes","lines","sha256"
"app/cbl/COBIL00C.cbl","core-application","COBOL source","23998","572","82325a5511bd7e409a80998ab75a3348ba91d3d4afd1a3b44a8efa7e70c4806d"
"app/cbl/COBSWAIT.cbl","core-application","COBOL source","2020","41","38a8d28235e58509776f5c8c74c113d5848a7ac68fab753c55ab887221c3b43a"
"app/cbl/COCRDLIC.cbl","core-application","COBOL source","118835","1459","fa2c01b129a18e041c97809b99e1f2816ebdc580a7d383e5b94e418244309b26"
"app/cbl/COCRDSLC.cbl","core-application","COBOL source","72195","887","3c563bf200a7f5bac0823df754dc596d46d24f6a634a5a2a4adb3d6b9b0057ab"
"app/cbl/COCRDUPC.cbl","core-application","COBOL source","127521","1560","d7a44daf5e8f7062da922b43f835e68515bcc4ff9258db90497cae5013f6edf6"
"app/cbl/COMEN01C.cbl","core-application","COBOL source","12769","308","bdfb0b465d9a7d3c0f121898ac848af7c89b95998b5d09203e8b43b9fb7ac7c5"
"app/cbl/CORPT00C.cbl","core-application","COBOL source","28951","649","fbe70de1c463de08f0efba5082160ddca1ab399525f5cde82ed94b78867d1c61"
"app/cbl/COSGN00C.cbl","core-application","COBOL source","10548","260","a80ec65197fdec85466da211e09603dc6303fd5a436a13cee6234296302fd185"
"app/cbl/COTRN00C.cbl","core-application","COBOL source","29969","699","22b2a16677e45dd2a32a125415d0ee143e05eb0f8017f2441eb8a47af132d7dd"
"app/cbl/COTRN01C.cbl","core-application","COBOL source","14574","330","766b81ac1776ec20442ce36a303462e45cda8c4c59ec1ce2e1e54d09113069ab"
"app/cbl/COTRN02C.cbl","core-application","COBOL source","34448","783","04d9319fa61eba73baea7d15069cf512fa563b6148fab713188f467477d61821"
"app/cbl/COUSR00C.cbl","core-application","COBOL source","29980","695","3022eeb2e549000f3ed6bf2d9fc7e570e4635d8b300a60dcc91360a617274437"
"app/cbl/COUSR01C.cbl","core-application","COBOL source","12870","299","68ccce51b9907999aad3ce10b8610561ddff3388281ecc657841e0eb6920b8e5"
"app/cbl/COUSR02C.cbl","core-application","COBOL source","18025","414","5325a348fbb87eb7d1d698a901ab214807d5ace3c8118458895d20465291d14a"
"app/cbl/COUSR03C.cbl","core-application","COBOL source","15397","359","979da8c527e07ca11c345299df850d3da639e8c3fa9dfce3cffdbf78eded90b0"
"app/cbl/CSUTLDTC.cbl","core-application","COBOL source","11765","157","55ca5fa7d9664464351f2c0473bf0fd9caf55a7e183dc4940cf6e338e12f6dbe"
"app/cpy/COADM02Y.cpy","core-application","COBOL copybook or generated BMS copybook","5076","62","523b47a74aa9cd658306d3041eb40d1c7d46fe14c665b27c5870a180757bedac"
"app/cpy/COCOM01Y.cpy","core-application","COBOL copybook or generated BMS copybook","2761","47","62b83142d6db09e372eb29417eb2cba4fd3cf684cea80023e52394bac6adb87d"
"app/cpy/CODATECN.cpy","core-application","COBOL copybook or generated BMS copybook","2723","52","8efc6b6d79bd46d65fcdc4e6a8e3778511fca76054f3fbae8e3075b0a2aa8fb1"
"app/cpy/COMEN02Y.cpy","core-application","COBOL copybook or generated BMS copybook","5425","101","2c22bb76148516c5669e792500ab36bd20b7a580d51a9c1754e069b686a90e3e"
"app/cpy/COSTM01.CPY","core-application","COBOL copybook or generated BMS copybook","2037","38","660aa12a59dc411cf9e9b5ab2deb7b097802f73e4269518b7cea74d8f8e9df5c"
"app/cpy/COTTL01Y.cpy","core-application","COBOL copybook or generated BMS copybook","1669","27","14f0249f66357e4fa204199468223db4db9a1cf837cd6de796e48e9034eb6123"
"app/cpy/CSDAT01Y.cpy","core-application","COBOL copybook or generated BMS copybook","3292","58","31dedbff000cb43db2eafc95ffc5ae8794ef07d130e429d338226e6395c3d2e9"
"app/cpy/CSLKPCDY.cpy","core-application","COBOL copybook or generated BMS copybook","52717","1318","f48a061c6e09588e3520ce68e7374bd503822c8c60180dc509a74e45f8c9e73f"
"app/cpy/CSMSG01Y.cpy","core-application","COBOL copybook or generated BMS copybook","1557","24","a9feca5c28dd3de5eeb216dc1bd08cecc7f91a601808a7313105e1a867558eec"
"app/cpy/CSMSG02Y.cpy","core-application","COBOL copybook or generated BMS copybook","1956","35","4da754da3bd323ba2f1f2bea16cba28f5e0a810304ec8a4f7cd4ad9470598893"
